link,Price,Year,Mileage,Fuel,Transmission,EngineCapacity,Power,Color,Doors,Location
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-st-line-1-5-ecoblue-eu6d-navi-soundsystem-hirdetesid-3z4eza,11 023 304 Ft,2023,6 106 km,dízel,automata,1 499 cm³,85 kW (116 LE),kék,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-active-x-matrix-led-navi-kamera-acc-hirdetesid-cv47vf,11 027 694 Ft,2023,17 900 km,dízel,automata,1 499 cm³,85 kW (116 LE),szürke,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-st-aut-lim-pano-da-head-up-bo-iacc-nav-led-uvm-hirdetesid-6kz6py,11 042 016 Ft,2020,70 650 km,benzin,automata,2 261 cm³,206 kW (280 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-ecoblue-aut-titanium-hirdetesid-pmr3x3,11 045 274 Ft,2023,48 150 km,dízel,automata,1 499 cm³,85 kW (116 LE),ezüst,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-turnier-1-5-e-blue-aut-titanium-x-acc-gjr-hirdetesid-r8ca6r,11 049 665 Ft,2023,25 500 km,dízel,automata,1 499 cm³,85 kW (116 LE),piros,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-0-ecoboost-mhev-titanium-business-kombi-petranyi-budaors-hirdetesid-h5cf5e,,2024,7 km,benzin,automata,999 cm³,85 kW (116 LE),fehér,5 ajtó,"Budapest, Budaörsi út 179."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-lim-st-led-technologie-paket-hirdetesid-fw5cn9,11 054 405 Ft,2021,62 891 km,benzin,automata,2 261 cm³,206 kW (280 LE),szürke,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-titanium-x-automatik-bo-sound-assistenz-winterpa-hirdetesid-www33y,11 062 846 Ft,2023,55 900 km,dízel,automata,1 499 cm³,85 kW (116 LE),fekete,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/ford-focus-1-5-ecoblue-active-4j-garant-bo-pdach-hirdetesid-9p8kum,11 067 237 Ft,2024,5 500 km,dízel,automata,1 499 cm³,85 kW (116 LE),piros,5 ajtó,"Budapest, Üllői út 309."
https://kocsi.hu/hasznaltauto/ford/focus/focus-iv/ford-focus-iv-1-5-ecoblue-titanium-x-aut-plusz-shz-plusz-rfk-plusz-acc-plusz-navi-plusz-pdc-plusz-hirdetesid-3mm9av,11 067 237 Ft,2023,17 353 km,dízel,automata,1 499 cm³,85 kW (116 LE),piros,5 ajtó,"Budapest, Üllői út 309."
